trial_type	trial_option	bounce	phant_bounce_direction	ball_change	ball_luminance	task_prompt	ball_speeds	ball_start_colors	itis
interactor	135_bottom_d	True		True	0.06	True	8.17561241606	0.810473533789	2.47666340059
empty	none_u	True	left	False		True	8.44442788962	0.759495895077	4.12947717934
empty	none_u	True	right	True	0.06	False	8.59151046117	0.895325406387	1.65287910034
interactor	135_top_l	True		True	0.06	False	8.77441183151	0.856346855234	2.78485981494
empty	none_u	False		False		True	8.93586039078	0.795420892778	3.2907557754
interactor	45_top_r	True		True	0.06	True	8.89049415658	0.78362590712	1.04891619615
empty	none_u	False		False		False	9.08829303751	0.843262364634	1.29453478752
empty	none_l	False		False		False	8.71785770368	0.825654200091	1.68695691054
interactor	45_top_r	False		False		False	8.25954223704	0.820122901103	2.00512565299
empty	none_r	True	right	False		True	8.25268405841	0.805653581828	1.01433092309
interactor	45_top_u	True		False		False	8.34332195928	0.883192222262	5.29127842681
interactor	135_top_l	False		True	0.06	True	8.24503645814	0.871972864592	2.38276831496
empty	none_d	False		False		True	8.44278167422	0.913853677107	1.96679747951
interactor	135_top_u	True		False		False	8.39138095075	0.86468136228	2.32263262506
interactor	135_bottom_d	False		True	0.06	False	8.72047499577	0.933580903965	1.43153228639
interactor	45_bottom_l	True		False		False	8.78821630292	0.868343485324	1.5130747164
empty	none_l	False		False		True	8.54178419008	0.81990958427	1.63675345142
empty	none_d	False		False		False	8.63051281195	0.82554720678	1.0860314499
interactor	135_bottom_r	True		True	0.06	True	7.97383988798	0.784373488233	1.12578803763
interactor	45_top_u	False		True	0.06	True	8.15630310497	0.908315130939	2.27621172251
interactor	135_top_u	False		True	0.06	True	8.24516152558	0.875392845411	1.55231619962
empty	none_r	False		False		True	8.73126449129	0.84645152046	1.24329950381
empty	none_l	True	left	True	0.06	True	8.70913126046	0.869859946519	1.27812897061
empty	none_r	False		False		False	8.44195977791	0.814343069002	1.12612966
empty	none_l	False		False		False	8.18800089092	0.871694184716	2.74963766922
interactor	135_bottom_r	False		False		False	8.83273341785	0.861805773064	6.4241678336
interactor	45_bottom_d	False		False		False	8.22292340089	0.928606000042	1.76043118772
interactor	45_bottom_d	False		True	0.06	True	8.29714741683	0.816144881893	1.77610197619
empty	none_d	False		True	0.06	True	8.29696419537	0.833910214088	1.02259242409
empty	none_d	True	left	True	0.06	False	8.05452510638	0.846191799853	1.25827844165
interactor	45_bottom_l	False		True	0.06	True	8.6995350516	0.774489186147	1.54603418566
empty	none_r	True	right	True	0.06	False	7.88130269831	0.898849955428	4.46094771743
