trial_nr	onset	event_type	phase	response	nr_frames	occluder_exit	onset_abs	duration
	0.0213636250118725	instruction	0		0		2.7851518749957904	3.2729517917032354
	3.2866850832942873	response	0	space			6.050473333278205	
0	3.294315416715108	fixation	0		61		6.058103666699026	0.5123352499795146
0	3.8066506666946225	interactor	1		150		6.57043891667854	1.2467299166019075
0	5.05338058329653	occluder	2		89		7.817168833280448	0.7428392500150949
0	5.796219833311625	ball_movement	3		360	0.779152041592	8.560008083295543	2.9997213750029914
0	8.795941208314616	iti	4		212		11.559729458298534	1.7640641250181943
0	10.56000533333281	task_prompt	5		503		13.323793583316728	5.0008511249907315
0	12.164174416684546	response	5	left			14.927962666668463	
0	15.560856458323542	post_prompt_iti	6		120		18.32464470830746	1.0006508333608508
1	16.561507291684393	fixation	0		60		19.32529554166831	0.4998447083053179
1	17.06135199998971	interactor	1		150		19.82514024997363	1.250372500042431
1	18.311724500032142	occluder	2		89		21.07551275001606	0.7494739582762122
1	19.061198458308354	ball_movement	3		360	0.761097125011	21.824986708292272	3.003593166708015
1	22.06479162501637	iti	4		280		24.828579875000287	2.3332823750097305
1	24.3980740000261	task_prompt	5		528		27.161862250010017	4.999935125000775
1	25.59092920832336	response	5	right			28.354717458307277	
1	29.398009125026874	post_prompt_iti	6		119		32.16179737501079	0.9882167499745265
2	30.3862258750014	fixation	0		60		33.15001412498532	0.5004550833255053
2	30.886680958326906	interactor	1		150		33.650469208310824	1.246946083381772
2	32.13362704170868	occluder	2		90		34.897415291692596	0.7494726249715313
2	32.88309966668021	ball_movement	3		360	0.753300125012	35.64688791666413	3.0030692916479893
2	35.8861689583282	iti	4		398		38.64995720831212	3.3162697916850448
3	39.20243875001324	fixation	0		60		41.96622699999716	0.5006637083133683
3	39.70310245832661	interactor	1		149		42.46689070831053	1.2387031249818392
3	40.94180558330845	occluder	2		90		43.70559383329237	0.7500027500209399
3	41.69180833332939	ball_movement	3		361	0.738656000001	44.45559658331331	3.010940666659735
3	44.702748999989126	iti	4		399		47.466537249973044	3.3287658750195988
3	48.031514875008725	short break	5		1		50.79530312499264	31.145623416698072
