trial_type	trial_option	bounce	phant_bounce_direction	ball_change	ball_luminance	task_prompt	ball_speeds	ball_start_colors	itis
interactor	135_top_u	True		False		False	8.20294700453	0.945835460538	2.96027433698
empty	none_l	True	left	False		False	8.47176159001	0.874000848413	2.50788572561
interactor	45_bottom_l	False		False		True	8.73587654391	0.749976154075	3.30943712068
interactor	135_top_u	True		True	0.06	False	8.43060697665	0.872229208275	1.73205987032
interactor	135_bottom_r	False		True	0.06	False	8.1872583203	0.887713667744	1.38087173707
interactor	135_top_u	True		False		False	8.31162621845	0.794169303458	1.27339214943
interactor	45_top_r	True		False		False	8.17994090429	0.816388195564	1.13710464232
empty	none_d	False		False		False	8.49598881867	0.848270623529	2.29717132487
empty	none_l	False		False		False	8.34067244346	0.848623766246	1.35935823688
empty	none_u	False		True	0.06	False	8.47756590752	0.788249933633	2.08285718773
empty	none_d	False		True	0.06	False	8.76976981101	0.79057372257	1.46834739795
empty	none_l	True	left	True	0.06	False	8.70015847634	0.890065730284	2.38042350613
empty	none_l	False		True	0.06	False	8.91197014285	0.870473935532	2.14637781216
empty	none_d	True	right	True	0.06	False	8.07336025098	0.804054991006	3.51789056551
interactor	45_bottom_d	False		True	0.06	False	8.16292311679	0.815098182434	1.18838268277
empty	none_u	True	right	False		False	8.5239962374	0.83365703454	2.55287831012
empty	none_u	True	right	False		False	8.26750571135	0.822039370833	1.41380516145
empty	none_r	False		False		False	8.40953222536	0.854171355908	1.57436302174
interactor	135_bottom_d	True		False		False	8.29491749753	0.892177539524	1.85948947484
interactor	135_bottom_r	False		False		False	8.5618053415	0.832978689986	2.05938400651
interactor	135_top_u	False		True	0.06	False	8.2491469607	0.789323794021	1.693816638
interactor	135_bottom_d	False		True	0.06	False	8.79785646088	0.881045655376	1.51682549238
empty	none_u	False		False		False	8.61278439358	0.825528932161	1.18754267067
interactor	45_top_r	False		False		False	8.58058092802	0.860538639955	1.58362764408
empty	none_r	False		True	0.06	False	8.40228857157	0.869429376628	1.32631863395
interactor	135_bottom_d	True		True	0.06	False	8.7648153661	0.816979093401	1.23430393503
empty	none_u	True	right	False		False	8.36154455107	0.756940176406	3.2617737333
interactor	45_bottom_l	False		True	0.06	False	8.07151227838	0.930765090428	1.08729431297
empty	none_d	False		False		True	8.59639153258	0.925559574005	2.76256544637
interactor	45_bottom_d	False		False		False	8.4804006113	0.967515105929	1.01435614239
interactor	135_top_l	False		False		False	8.35005683932	0.833218824793	2.21574923893
empty	none_r	True	left	True	0.06	False	8.57690628537	0.836177856814	1.73618918808
empty	none_l	False		False		False	8.39133682955	0.877372904529	1.03666468532
empty	none_r	False		True	0.06	False	8.56273971827	0.768692839383	1.4450814038
empty	none_r	False		False		False	8.07981841603	0.876585934172	3.48978741489
interactor	135_top_u	True		True	0.06	True	8.60443459876	0.917718789571	1.34203495404
empty	none_u	False		True	0.06	False	8.27320563455	0.811048377748	2.08610507105
empty	none_r	True	left	False		False	8.17014975026	0.819941435402	1.06896761928
interactor	135_bottom_d	False		True	0.06	False	8.83987388295	0.853853102453	1.6903286429
empty	none_u	True	right	False		False	8.20240105218	0.774197127325	1.61139762824
interactor	45_top_r	True		False		False	8.4678003249	0.877610856621	2.03617158247
interactor	135_bottom_r	True		True	0.06	False	8.82872733256	0.79925103955	1.78701281539
empty	none_r	False		False		False	8.89488251494	0.866298560714	1.66964131624
interactor	135_top_u	False		True	0.06	False	8.61885704109	0.933781693624	2.06953700153
interactor	45_bottom_l	True		False		False	8.23201847663	0.837108366709	1.46963333713
interactor	135_top_l	False		False		True	8.14068260776	0.915331051349	2.60220415204
interactor	45_top_u	False		True	0.06	False	8.54235782927	0.854353439866	2.29188215657
empty	none_r	True	left	True	0.06	False	8.48787436148	0.820259233004	2.04434063889
empty	none_d	True	right	False		False	9.03698785803	0.852385780995	1.6708821318
empty	none_l	False		True	0.06	False	8.72061029695	0.874329280061	1.1104648377
empty	none_l	False		True	0.06	False	8.2236268171	0.869481717695	1.02795069052
empty	none_l	True	left	True	0.06	False	8.6279282408	0.876272462555	2.09152766526
interactor	135_top_l	True		False		False	8.80165626538	0.871445286587	1.14321432904
interactor	45_top_u	False		True	0.06	False	8.64493573434	0.893040342346	1.1764301739
interactor	135_bottom_d	True		False		False	8.19630384601	0.889684533626	1.06060130477
interactor	45_bottom_d	False		False		False	8.53019751321	0.823218670225	1.7851013595
interactor	45_top_r	True		False		False	8.2737666084	0.87391254122	1.61009905921
interactor	45_bottom_l	False		False		False	8.50476786947	0.87206455399	1.3288500331
empty	none_l	False		True	0.06	False	8.41470507683	0.864837570493	1.10385698545
interactor	135_top_u	False		False		False	8.24382996171	0.80658664717	1.71599991213
empty	none_l	False		True	0.06	False	8.47144053223	0.851900366911	1.2742629695
empty	none_r	False		False		True	8.29835740864	0.860560645569	2.49649283322
interactor	135_bottom_d	True		True	0.06	True	8.5480331533	0.796494514616	2.31810179317
