trial_nr	onset	event_type	phase	response	nr_frames	occluder_exit	onset_abs	duration
	0.03490674999920884	instruction	0		0		2.9462130833344418	2.3037642916642653
	2.330159041663137	response	0	space			5.24146537499837	
0	2.338671041663474	fixation	0		62		5.249977374998707	0.5006419166675187
0	2.839312958330993	interactor	1		150		5.750619291666226	1.255718666667235
0	4.095031624998228	occluder	2		90		7.006337958333461	0.743656666665629
0	4.838688291663857	ball_movement	3		360	0.785840791668	7.74999462499909	3.0012197500000184
0	7.839908041663875	iti	4		167		10.751214374999108	1.3934184583340539
1	9.23332649999793	fixation	0		59		12.144632833333162	0.49154929166616057
1	9.72487579166409	interactor	1		151		12.636182124999323	1.2585471249985858
1	10.983422916662676	occluder	2		90		13.894729249997908	0.7501002499993774
1	11.733523166662053	ball_movement	3		360	0.754721791669	14.644829499997286	2.9987632500015025
1	14.732286416663555	iti	4		181		17.64359274999879	1.5091558749991236
2	16.24144229166268	fixation	0		60		19.152748624997912	0.5002307083341293
2	16.74167299999681	interactor	1		150		19.65297933333204	1.2535756249999395
2	17.995248624996748	occluder	2		89		20.90655495833198	0.738288583332178
2	18.733537208328926	ball_movement	3		360	0.741371	21.64484354166416	3.01152645833281
2	21.745063666661736	iti	4		170		24.65636999999697	1.4166339583352965
2	23.161697624997032	task_prompt	5		300		26.073003958332265	5.000149958334077
2	28.16184758333111	post_prompt_iti	6		120		31.073153916666342	0.9966613333308487
3	29.158508916661958	fixation	0		59		32.06981524999719	0.49148662500010687
3	29.649995541662065	interactor	1		150		32.5613018749973	1.250462708336272
3	30.900458249998337	occluder	2		91		33.81176458333357	0.7580457083313377
3	31.658503958329675	ball_movement	3		359	0.763991	34.56981029166491	2.991306625001016
3	34.64981058333069	iti	4		183		37.561116916665924	1.5291291249995993
3	36.17893970833029	short break	5		30		39.09024604166552	30.37551495833395
4	66.55445466666424	fixation	0		13		69.46576099999947	0.11598945833247853
4	66.67044412499672	interactor	1		150		69.58175045833195	1.2536453750035434
4	67.92408950000026	occluder	2		89		70.8353958333355	0.7511756666608562
4	68.67526516666112	ball_movement	3		359	0.791337208339	71.58657149999635	2.994560375002038
4	71.66982554166316	iti	4		276		74.58113187499839	2.345809458336589
5	74.01563499999975	fixation	0		60		76.92694133333498	0.49602783333102707
5	74.51166283333077	interactor	1		150		77.42296916666601	1.250338791669492
5	75.76200162500027	occluder	2		90		78.6733079583355	0.7501497083285358
5	76.5121513333288	ball_movement	3		360	0.768848083331	79.42345766666404	2.9991878333348723
5	79.51133916666367	iti	4		176		82.42264549999891	1.4672732083345181
6	80.97861237499819	fixation	0		60		83.88991870833343	0.4968303333334916
6	81.47544270833168	interactor	1		150		84.38674904166692	1.2531960416672518
6	82.72863874999894	occluder	2		91		85.63994508333417	0.7584458749988698
6	83.4870846249978	ball_movement	3		359	0.779762124999	86.39839095833304	2.9885099999992235
6	86.47559462499703	iti	4		200		89.38690095833226	1.6726611666672397
6	88.14825579166427	long break	5		60		91.0595621249995	60.73830783333324
7	148.8865636249975	fixation	0		0		151.79786995833274	0.002257833333715098
7	148.88882145833122	interactor	1		121		151.80012779166645	1.0266700416686945
7	149.91549149999992	occluder	2		89		152.82679783333515	0.7301774166626274
7	150.64566891666254	ball_movement	3		360	0.770204458331	153.55697524999778	3.0000791249985923
7	153.64574804166114	iti	4		407		156.55705437499637	3.394599458337325
8	157.04034749999846	fixation	0		59		159.9516538333337	0.499765208332974
8	157.54011270833143	interactor	1		150		160.45141904166667	1.2503515833304846
8	158.79046429166192	occluder	2		91		161.70177062499715	0.7615843749990745
8	159.552048666661	ball_movement	3		360	0.775331833334	162.46335499999623	2.995973041670368
8	162.54802170833136	iti	4		350		165.4593280416666	2.9171885833311535
9	165.46521029166252	fixation	0		60		168.37651662499775	0.5087762500006647
9	165.97398654166318	interactor	1		150		168.8852928749984	1.2534074166687788
9	167.22739395833196	occluder	2		90		170.1387002916672	0.7470828749974316
9	167.9744768333294	ball_movement	3		360	0.759987916663	170.88578316666462	2.999241500001517
9	170.9737183333309	iti	4		221		173.88502466666614	1.8438131250004517
9	172.81753145833136	short break	5		30		175.7288377916666	30.345611833330622
10	203.16314329166198	fixation	0		19		206.07444962499721	0.14472491666674614
10	203.30786820832873	interactor	1		150		206.21917454166396	1.2500456250018033
10	204.55791383333053	occluder	2		90		207.46922016666576	0.7499405833332276
10	205.30785441666376	ball_movement	3		360	0.738977500001	208.219160749999	3.0024464999987686
10	208.31030091666253	iti	4		129		211.22160724999776	1.075440125001478
11	209.385741041664	fixation	0		60		212.29704737499924	0.5040493749984307
11	209.88979041666244	interactor	1		150		212.80109674999767	1.2498331666683953
11	211.13962358333083	occluder	2		90		214.05092991666606	0.7430651249997027
11	211.88268870833053	ball_movement	3		360	0.745094541664	214.79399504166577	3.0069948333330103
11	214.88968354166354	iti	4		143		217.80098987499878	1.1849829999991925
12	216.07466654166274	fixation	0		60		218.98597287499797	0.5021372083356255
12	216.57680374999836	interactor	1		150		219.4881100833336	1.2519667083324748
12	217.82877045833084	occluder	2		90		220.74007679166607	0.7492415833330597
12	218.5780120416639	ball_movement	3		361	0.724822708336	221.48931837499913	3.0072426666665706
12	221.58525470833047	iti	4		183		224.4965610416657	1.5247357500011276
12	223.1099904583316	long break	5		60		226.02129679166683	60.738089166665304
13	283.8480796249969	fixation	0		0		286.75938595833213	0.0007240000013553072
13	283.84880362499825	interactor	1		122		286.7601099583335	1.0193731250001292
13	284.8681767499984	occluder	2		89		287.7794830833336	0.7382068333317875
13	285.60638358333017	ball_movement	3		361	0.799840583331	288.5176899166654	3.007370916668151
13	288.6137544999983	iti	4		155		291.52506083333355	1.2920195416627394
14	289.90577404166106	fixation	0		60		292.8170803749963	0.5003864166683343
14	290.4061604583294	interactor	1		150		293.31746679166463	1.2501382083319186
14	291.6562986666613	occluder	2		90		294.56760499999655	0.7500173333355633
14	292.4063159999969	ball_movement	3		360	0.784946124997	295.3176223333321	2.999157791666221
14	295.4054737916631	iti	4		207		298.31678012499833	1.7251892916683573
15	297.13066308333146	fixation	0		60		300.0419694166667	0.5001727499984554
15	297.6308358333299	interactor	1		150		300.54214216666514	1.2503547500018612
15	298.8811905833318	occluder	2		90		301.792496916667	0.749969708329445
15	299.6311602916612	ball_movement	3		360	0.754883666668	302.54246662499645	2.999089166667545
15	302.63024945832876	iti	4		349		305.541555791664	2.9538331250005285
15	305.5840825833293	short break	5		30		308.4953889166645	30.36119304167005
16	335.94527562499934	fixation	0		17		338.8565819583346	0.1385529166618653
16	336.0838285416612	interactor	1		149		338.99513487499644	1.23900979166865
16	337.32283833332986	occluder	2		91		340.2341446666651	0.7612535833322909
16	338.08409191666215	ball_movement	3		359	0.775024625	340.9953982499974	2.9877074583346257
16	341.0717993749968	iti	4		178		343.983105708332	1.4836324583338865
17	342.55543183333066	fixation	0		61		345.4667381666659	0.508401083330682
17	343.06383291666134	interactor	1		150		345.9751392499966	1.2537062916708237
17	344.31753920833216	occluder	2		90		347.2288455416674	0.7497481249993143
17	345.0672873333315	ball_movement	3		360	0.778052416663	347.9785936666667	2.996163958330726
17	348.0634512916622	iti	4		143		350.97475762499744	1.192104041667335
18	349.25555533332954	fixation	0		59		352.1668616666648	0.49170483333364245
18	349.7472601666632	interactor	1		151		352.6585664999984	1.2584828333347104
18	351.0057429999979	occluder	2		89		353.9170493333331	0.7416061250005441
18	351.74734912499844	ball_movement	3		360	0.771828083332	354.65865545833367	2.9994795833335957
18	354.74682870833203	iti	4		282		357.65813504166726	2.3534654166651308
18	357.10029412499716	long break	5		60		360.0116004583324	60.728379208332626
19	417.8286733333298	fixation	0		0		420.739979666665	0.0006817916691943537
19	417.829355124999	interactor	1		123		420.7406614583342	1.0182315416641359
19	418.8475866666631	occluder	2		90		421.75889299999835	0.7565545416691748
19	419.6041412083323	ball_movement	3		360	0.759146666671	422.5154475416675	2.996394166664686
19	422.600535374997	iti	4		231		425.5118417083322	1.9251676666644926
20	424.5257030416615	fixation	0		60		427.4370093749967	0.5002139583375538
20	425.025916999999	interactor	1		150		427.93722333333426	1.250081833331933
20	426.27599883333096	occluder	2		90		429.1873051666662	0.749800083332957
20	427.0257989166639	ball_movement	3		360	0.777234333331	429.93710524999915	2.9995499166652735
20	430.0253488333292	iti	4		200		432.9366551666644	1.667099041667825
21	431.692447874997	fixation	0		60		434.60375420833225	0.49984391666657757
21	432.1922917916636	interactor	1		150		435.1035981249988	1.250247333333391
21	433.442539124997	occluder	2		91		436.3538454583322	0.7586371249999502
21	434.20117624999693	ball_movement	3		360	0.734618875002	437.11248258333217	3.003114833332802
21	437.20429108332974	iti	4		204		440.11559741666497	1.695472499999596
21	438.89976358332933	short break	5		30		441.81106991666456	30.365320791668637
22	469.26508437499797	fixation	0		16		472.1763907083332	0.13482666666459409
22	469.39991104166256	interactor	1		150		472.3112173749978	1.250615958335402
22	470.65052699999796	occluder	2		91		473.5618333333332	0.7584615416635643
22	471.40898854166153	ball_movement	3		360	0.746558541668	474.32029487499676	2.99938266666868
22	474.4083712083302	iti	4		214		477.31967754166544	1.7810148333337565
23	476.18938604166397	fixation	0		61		479.1006923749992	0.5110422500001732
23	476.70042829166414	interactor	1		149		479.6117346249994	1.241834791664587
23	477.9422630833287	occluder	2		90		480.85356941666396	0.7466986250001355
23	478.68896170832886	ball_movement	3		361	0.762034291667	481.6002680416641	3.010819041668583
23	481.69978074999744	iti	4		288		484.6110870833327	2.4045170833342127
24	484.10429783333166	fixation	0		60		487.0156041666669	0.5044524999975692
24	484.6087503333292	interactor	1		149		487.52005666666446	1.241881750000175
24	485.8506320833294	occluder	2		90		488.76193841666463	0.7500203750023502
24	486.60065245833175	ball_movement	3		361	0.775083375	489.511958791667	3.007698249999521
24	489.6083507083313	iti	4		221		492.5196570416665	1.845452124998701
24	491.45380283333	long break	5		60		494.3651091666652	60.70819304166798
25	552.161995874998	fixation	0		0		555.0733022083332	0.0008569583333155606
25	552.1628528333313	interactor	1		124		555.0741591666665	1.0374804999992193
25	553.2003333333305	occluder	2		90		556.1116396666657	0.7497504999992088
25	553.9500838333297	ball_movement	3		360	0.741733999999	556.8613901666649	2.9990165416675154
25	556.9491003749972	iti	4		298		559.8604067083324	2.483922375002294
26	559.4330227499995	fixation	0		60		562.3443290833347	0.49696766666238545
26	559.9299904166619	interactor	1		150		562.8412967499971	1.2565862916671904
26	561.1865767083291	occluder	2		90		564.0978830416643	0.7439778333318827
26	561.930554541661	ball_movement	3		360	0.763473208335	564.8418608749962	3.0013329166686162
26	564.9318874583296	iti	4		361		567.8431937916648	3.0129281250010536
27	567.9448155833306	fixation	0		60		570.8561219166659	0.493497583331191
27	568.4383131666618	interactor	1		150		571.3496194999971	1.2503762500018638
27	569.6886894166637	occluder	2		90		572.5999957499989	0.7528689999999187
27	570.4415584166636	ball_movement	3		359	0.808664749999	573.3528647499988	3.0033774166658986
27	573.4449358333295	iti	4		404		576.3562421666647	3.366767291667202
27	576.8117031249967	short break	5		30		579.723009458332	30.357545625000057
28	607.1692487499968	fixation	0		17		610.080555083332	0.13373004166714964
28	607.3029787916639	interactor	1		150		610.2142851249992	1.2474956666665094
28	608.5504744583304	occluder	2		89		611.4617807916657	0.7499575000001641
