trial_type	trial_option	bounce	phant_bounce_direction	ball_change	ball_luminance	task_prompt	ball_speeds	ball_start_colors	itis
empty	none_u	False		False		True	8.33504521902	0.809915166864	1.06068816894
empty	none_l	False		False		True	8.95524686289	0.871101763638	3.3629309558
interactor	135_top_u	False		False		True	8.79419669741	0.857150942296	1.39807047844
interactor	135_top_l	False		True	0.06	False	8.7378017565	0.728164583782	1.26533232807
interactor	45_top_u	True		True	0.06	True	8.41716981096	0.914008523376	1.14932718947
interactor	45_bottom_d	True		False		True	8.56115139153	0.856700978046	5.79519797859
interactor	45_bottom_l	False		False		False	8.15732535338	0.875810905432	1.57102493577
empty	none_r	True	right	True	0.06	True	8.26596780956	0.873032230665	1.03482717816
empty	none_u	False		True	0.06	True	8.63217483858	0.867056854727	1.17655174507
empty	none_r	True	right	True	0.06	False	8.37293571653	0.972725649767	1.96085330165
empty	none_l	False		True	0.06	False	8.96742467945	0.879117279243	1.47104068277
interactor	45_top_u	False		False		False	8.74491972014	0.839891873665	1.38264584344
empty	none_d	False		True	0.06	True	8.31618057677	0.875167062915	1.02212855173
empty	none_d	False		True	0.06	False	8.6554166769	0.877204294108	5.04894149174
empty	none_d	False		False		False	8.46384772202	0.940100392542	3.38542365927
empty	none_u	False		False		False	8.12122074946	0.786253070528	1.14181330534
interactor	135_bottom_d	False		False		True	8.14827276949	0.870555123032	2.61861769531
interactor	135_bottom_r	False		False		False	8.86578159618	0.891241141212	6.30262960148
interactor	135_top_u	False		False		False	8.519169925	0.853252258467	1.90631544213
empty	none_l	False		True	0.06	False	8.4833325945	0.877931292247	2.09882880218
empty	none_u	False		False		False	8.56167584942	0.804486011519	2.34142513815
empty	none_d	True	left	True	0.06	True	8.89204580259	0.814403729237	1.09095179502
interactor	45_bottom_l	False		True	0.06	True	8.93315311907	0.881410681619	1.13499844742
interactor	135_bottom_d	False		True	0.06	False	8.35971441901	0.897329116726	1.0558674424
interactor	135_top_l	True		False		True	8.47701669016	0.883074863414	2.88542493207
empty	none_r	True	right	True	0.06	True	8.54812077514	0.782077768979	1.1905555263
interactor	45_top_r	False		True	0.06	True	8.1205581874	0.87976008743	1.84379572679
interactor	135_bottom_r	True		True	0.06	True	8.87469640325	0.845037250082	4.3990584355
empty	none_r	True	right	True	0.06	False	8.49835592579	0.914946482196	1.94950132709
interactor	45_bottom_d	True		True	0.06	False	8.34782758762	0.802218570802	1.84978999957
interactor	45_top_r	True		True	0.06	False	8.51416590867	0.818832393595	5.52908689787
empty	none_l	True	left	True	0.06	True	8.19398714844	0.931825514436	1.10920928072
