trial_nr	onset	event_type	phase	response	nr_frames	occluder_exit	onset_abs	duration
0	0.006298291671555489	instruction	0		0		2.7437981250113808	0.978894500003662
0	0.9682270000339486	response	0	space			3.705726833373774	
0	0.9851927916752174	fixation	0		61		3.7226926250150427	0.4949854166479781
0	1.4801782083231956	interactor	1		150		4.217678041663021	1.2498333749826998
0	2.7300115833058953	occluder	2		90		5.467511416645721	0.7472742917016149
0	3.47728587500751	ball_movement	3		360	0.777996083314	6.2147857083473355	3.0066756249871105
0	6.483961499994621	iti	4		284		9.221461333334446	2.365591666661203
0	8.849553166655824	task_prompt	5		107		11.587052999995649	1.7806289583677426
0	10.619670583342668	response	5	left			13.357170416682493	
1	10.630182125023566	fixation	0		61		13.367681958363391	0.507285833300557
1	11.137467958324123	interactor	1		149		13.874967791663948	1.2421515833120793
1	12.379619541636202	occluder	2		91		15.117119374976028	0.7590856250026263
1	13.138705166638829	ball_movement	3		359	0.724495999981	15.876204999978654	2.9907045834115706
1	16.1294097500504	iti	4		307		18.866909583390225	2.568664166610688
1	18.698073916661087	task_prompt	5		53		21.435573750000913	0.885381750005763
1	19.565666958340444	response	5	right			22.30316679168027	
2	19.58345566666685	fixation	0		60		22.320955500006676	0.4943569583701901
2	20.07781262503704	interactor	1		150		22.815312458376866	1.2511097082751803
2	21.32892233331222	occluder	2		90		24.066422166652046	0.7511395417386666
2	22.080061875050887	ball_movement	3		360	0.741721416707	24.817561708390713	2.999468749971129
2	25.079530625022016	iti	4		154		27.81703045836184	1.2873230833210982
2	26.366853708343115	task_prompt	5		157		29.10435354168294	2.6114591666846536
2	28.97126891661901	response	5	left			31.708768749958836	
3	28.97831287502777	fixation	0		60		31.715812708367594	0.5018592916312627
3	29.48017216665903	interactor	1		150		32.217671999998856	1.2496354583417997
3	30.72980762500083	occluder	2		90		33.467307458340656	0.7502817500499077
3	31.48008937505074	ball_movement	3		360	0.735080125043	34.217589208390564	2.9991734582581557
3	34.479262833308894	iti	4		159		37.21676266664872	1.3260935416910797
4	35.805356374999974	fixation	0		61		38.5428562083398	0.5049745000433177
4	36.31033087504329	interactor	1		150		39.04783070838312	1.2526296665892005
4	37.56296054163249	occluder	2		71		40.30046037497232	0.5921068750321865
