trial_nr	onset	event_type	phase	response	nr_frames	occluder_exit	onset_abs	duration
0	4.7221916249836795	iti	0		0		7.206611333298497	0.00043287500739097595
0	4.7226244999910705	fixation	1		0		7.207044208305888	0.0003174583544023335
0	4.722941958345473	interactor	2		0		7.20736166666029	0.00019079161575064063
0	4.7231327499612235	occluder	3		0		7.207552458276041	0.00018716673366725445
0	4.723319916694891	ball_movement	4		285		7.207739625009708	2.3640343750012107
1	7.087354291696101	iti	0		235		9.571774000010919	1.957155791693367
1	9.044510083389468	fixation	1		60		11.528929791704286	0.49761124997166917
1	9.542121333361138	interactor	2		150		12.026541041675955	1.2572764583164826
1	10.79939779167762	occluder	3		0		13.283817499992438	
					1	0.723154166655		
1	11.551938124990556	ball_movement	4		359		14.036357833305374	2.9915643333806656
2	14.543502458371222	iti	0		255		17.02792216668604	2.1255227082874626
2	16.669025166658685	fixation	1		60		19.153444874973502	0.5047077083145268
2	17.17373287497321	interactor	2		150		19.65815258328803	1.2443923333776183
2	18.41812520835083	occluder	3		1		20.902544916665647	0.7594924999866635
2	19.177617708337493	ball_movement	4		360		21.66203741665231	2.9979702916461974
3	22.17558799998369	iti	0		197		24.660007708298508	1.6418057500268333
3	23.817393750010524	fixation	1		59		26.30181345832534	0.49464099999750033
3	24.312034750008024	interactor	2		150		26.79645445832284	1.2498671250068583
3	25.561901875014883	occluder	3		1		28.0463215833297	0.7657077083713375
3	26.32760958338622	ball_movement	4		241		28.812029291701037	2.021180708310567
