trial_nr	onset	event_type	phase	response	nr_frames	occluder_exit	onset_abs	duration
16	0.012867458339314908	fixation	0		59		2.4453794583387207	0.4765195833242615
16	0.4893870416635764	interactor	1		148		2.921899041662982	1.257719041670498
16	1.7471060833340744	occluder	2		90		4.17961808333348	0.7465476249999483
16	2.4936537083340227	ball_movement	3		360	0.754194708337	4.9261657083334285	3.000181541669008
16	5.4938352500030305	iti	4		239		7.926347250002436	1.9916020833334187
17	7.485437333336449	fixation	0		60		9.917949333335855	0.49993466666637687
17	7.985372000002826	interactor	1		150		10.417884000002232	1.2494142499999725
17	9.234786250002799	occluder	2		91		11.667298250002204	0.7588472499992349
17	9.993633500002034	ball_movement	3		359	0.745816916664	12.42614550000144	2.990674000000581
17	12.984307500002615	iti	4		181		15.41681950000202	1.507045874997857
17	14.491353375000472	task_prompt	5		432		16.923865374999878	5.005569458335231
17	17.297738375003973	response	5	left			19.73025037500338	
17	19.496922833335702	post_prompt_iti	6		120		21.929434833335108	1.0002766250036075
18	20.49719945833931	fixation	0		60		22.929711458338716	0.4967980000001262
18	20.993997458339436	interactor	1		150		23.426509458338842	1.2526627499973984
18	22.246660208336834	occluder	2		90		24.67917220833624	0.7442447499997797
18	22.990904958336614	ball_movement	3		360	0.753348625003	25.42341695833602	3.002562499998021
18	25.993467458334635	iti	4		174		28.42597945833404	1.4479364583312417
18	27.441403916665877	task_prompt	5		489		29.873915916665283	4.998866666668619
18	29.28528866666602	response	5	right			31.717800666665426	
18	32.440270583334495	post_prompt_iti	6		120		34.8727825833339	0.9998015416640555
19	33.44007212499855	fixation	0		60		35.87258412499796	0.5026158750042669
19	33.94268800000282	interactor	1		151		36.37520000000222	1.2588590833329363
19	35.201547083335754	occluder	2		89		37.63405908333516	0.7388847500042175
19	35.94043183333997	ball_movement	3		360	0.763956958333	38.37294383333938	2.999856041664316
19	38.94028787500429	iti	4		232		41.37279987500369	1.9375420416617999
19	40.87782991666609	task_prompt	5		510		43.31034191666549	4.998430749998079
19	42.372070458339294	response	5	left			44.8045824583387	
19	45.876260666664166	post_prompt_iti	6		120		48.30877266666357	0.997642916670884
20	46.87390358333505	fixation	0		60		49.306415583334456	0.4996878750025644
20	47.373591458337614	interactor	1		151		49.80610345833702	1.261143166666443
20	48.63473462500406	occluder	2		89		51.06724662500346	0.7450714166625403
20	49.3798060416666	ball_movement	3		360	0.778006250002	51.812318041666	2.993671833333792
20	52.37347787500039	iti	4		237		54.805989874999796	1.9777599583394476
21	54.35123783333984	fixation	0		60		56.78374983333924	0.503508708323352
21	54.85474654166319	interactor	1		150		57.287258541662595	1.246845541674702
21	56.10159208333789	occluder	2		89		58.5341040833373	0.7386770000011893
21	56.84026908333908	ball_movement	3		360	0.778386041668	59.27278108333849	3.002250500001537
21	59.84251958334062	iti	4		133		62.275031583340024	1.11213970832614
21	60.95465929166676	task_prompt	5		484		63.387171291666164	4.988169291667873
21	62.85570029166411	response	5	right			65.28821229166351	
21	65.94282858333463	post_prompt_iti	6		120		68.37534058333404	0.9999711250056862
22	66.94279970834032	fixation	0		61		69.37531170833972	0.5118733749986859
22	67.454673083339	interactor	1		149		69.88718508333841	1.238258291661623
22	68.69293137500063	occluder	2		91		71.12544337500003	0.7586741666673333
22	69.45160554166796	ball_movement	3		358	0.768977791675	71.88411754166737	3.0036810416713706
22	72.45528658333933	iti	4		229		74.88779858333874	1.9066982083240873
22	74.36198479166342	task_prompt	5		531		76.79449679166282	5.001564916674397
22	75.50170349999826	response	5	left			77.93421549999766	
22	79.36354970833781	post_prompt_iti	6		120		81.79606170833722	1.0008712083290447
22	80.36442091666686	short break	7		1		82.79693291666626	30.02399204167159
23	110.38841295833845	fixation	0		58		112.82092495833786	0.47373795832390897
23	110.86215091666236	interactor	1		150		113.29466291666176	1.2483187916732277
23	112.11046970833559	occluder	2		90		114.54298170833499	0.749782041668368
23	112.86025175000395	ball_movement	3		360	0.775174083334	115.29276375000336	3.0059425416620797
23	115.86619429166603	iti	4		155		118.29870629166544	1.2880813750016387
