trial_type	trial_option	bounce	phant_bounce_direction	ball_change	ball_luminance	task_prompt	ball_speeds	ball_start_colors	itis	change_detect_button
interactor	45_top_r	True		False		False	8.31021908827	0.821628493188	1.54685408614	right
empty	none_u	False		True	0.06	True	8.91199230126	0.782981310653	1.34412119895	right
empty	none_d	True	left	True	0.06	False	9.0180518395	0.8741745211	2.18117768819	right
empty	none_l	False		False		False	8.80825536507	0.841811068154	2.07951830488	right
empty	none_r	False		True	0.06	False	8.74061388115	0.774266359148	1.19148533491	right
empty	none_d	False		False		False	8.12960892007	0.892130261763	1.04919716629	right
empty	none_d	False		False		False	8.4734221081	0.927557164477	1.96287116914	right
empty	none_r	False		True	0.06	False	8.46314002294	0.821598428395	1.32942434363	right
interactor	45_top_u	True		False		False	8.57975804786	0.805006028176	2.47287594912	right
interactor	45_top_r	True		False		False	8.28692750154	0.849890381836	1.45701072855	right
empty	none_l	False		False		False	8.57783003377	0.814199109064	2.95951567401	right
interactor	45_top_u	False		True	0.06	False	8.26041544106	0.835710608763	1.52092920329	right
interactor	135_bottom_d	False		False		False	9.01723942955	0.844684339678	1.59608610596	right
empty	none_u	True	right	False		False	8.16634230807	0.840908747525	1.18632752871	right
interactor	135_bottom_r	True		False		False	8.95920011367	0.834957343754	2.17582250175	right
interactor	135_bottom_d	False		True	0.06	True	8.43274221874	0.835962751673	1.13472327533	right
interactor	45_bottom_d	False		False		False	8.14320070395	0.870276315118	1.9744690963	right
empty	none_u	True	right	True	0.06	False	8.53711179636	0.817375909198	1.3049572379	right
empty	none_r	True	right	False		False	8.70177408437	0.940044335976	3.02905528307	right
interactor	135_top_l	False		False		False	8.88991993702	0.856482889101	4.08775708473	right
empty	none_r	True	right	True	0.06	False	8.38519668435	0.915669948577	1.12872932587	right
empty	none_d	False		True	0.06	False	8.65608696595	0.813946258573	1.66450187249	right
empty	none_u	False		False		False	8.6854008641	0.870521853306	1.48413548666	right
interactor	45_bottom_d	True		False		False	8.48646161513	0.789217826425	2.97641661479	right
empty	none_l	False		True	0.06	False	8.31382859346	0.720779918175	1.27073603208	right
empty	none_u	True	right	True	0.06	False	8.67815701888	0.87415489042	1.09458909231	right
empty	none_l	False		True	0.06	False	8.8132742908	0.831469907659	1.25547057962	right
empty	none_d	False		True	0.06	False	8.47551258739	0.787673512352	1.13430660293	right
interactor	45_bottom_l	True		False		False	8.41290164998	0.91399947769	1.7460191825	right
interactor	45_bottom_d	False		True	0.06	False	8.2315055277	0.858349963264	2.62236976279	right
empty	none_u	True	right	False		False	8.20624990526	0.830789136365	1.88416239145	right
empty	none_r	True	right	False		False	8.1315038131	0.901409341039	1.66574137865	right
empty	none_d	False		True	0.06	False	8.68412648873	0.929222958398	2.83910871846	right
interactor	45_top_u	False		True	0.06	False	8.14508445923	0.816538240881	1.30399934063	right
empty	none_d	False		True	0.06	True	8.40727065429	0.892026893576	1.02091630953	right
empty	none_r	False		False		False	8.53800207535	0.897482507647	1.63510238647	right
empty	none_d	False		True	0.06	False	8.31179803116	0.868349965232	4.26470844065	right
interactor	135_top_l	False		True	0.06	False	8.20410234445	0.930198830393	1.14944588661	right
empty	none_u	True	right	True	0.06	False	8.21659640147	0.923543032162	3.34128791144	right
interactor	45_bottom_d	True		True	0.06	False	8.77762854519	0.826866978749	1.62525621177	right
interactor	135_top_u	True		False		False	8.75592590759	0.770546077652	1.80027323395	right
interactor	45_top_u	False		True	0.06	False	8.58861589282	0.736017125728	2.02312561579	right
interactor	135_bottom_d	False		False		False	8.54649932692	0.83167435983	1.58153097358	right
empty	none_l	True	left	False		False	8.21126473336	0.861697751257	3.31574261635	right
interactor	45_top_r	True		False		False	8.32276489244	0.960865970007	2.35811194231	right
empty	none_r	True	right	False		False	8.53453647986	0.845680325176	1.08534596922	right
interactor	135_bottom_r	False		True	0.06	False	8.56582937001	0.839559842096	1.23240819601	right
interactor	135_bottom_r	True		True	0.06	False	8.3470741558	0.902904210117	1.83018078213	right
empty	none_r	True	right	False		False	9.22570154455	0.802830829554	1.57615078987	right
interactor	135_top_l	True		False		False	8.56401335738	0.893917407235	1.96189834066	right
empty	none_r	True	right	True	0.06	False	8.55089464608	0.92753751727	1.20094388823	right
interactor	135_bottom_r	False		True	0.06	True	8.56195301783	0.86013282696	1.39702837392	right
empty	none_u	True	right	True	0.06	False	8.02793120847	0.797991450116	1.40214706593	right
empty	none_r	False		False		False	8.77477730786	0.863036136131	2.81909439383	right
interactor	45_bottom_l	True		True	0.06	False	8.05564865792	0.856387936888	1.22774414222	right
empty	none_l	True	left	False		False	8.31388904252	0.840422720248	1.86788615255	right
interactor	45_top_r	True		False		True	8.3613065017	1.01113668858	1.24540985483	right
interactor	45_top_u	False		False		False	8.7762210111	0.813747684564	1.26708091964	right
interactor	45_top_u	False		False		True	8.90832044255	0.77490170464	3.16304422166	right
interactor	45_top_u	True		False		False	8.32976120376	0.848831689789	2.74880837277	right
empty	none_r	True	right	False		False	8.36868887004	0.80761747946	1.17304444099	right
empty	none_d	True	left	True	0.06	False	8.95433868389	0.788738546659	1.45524618637	right
empty	none_l	False		True	0.06	False	8.46750981652	0.842243908489	2.04513226292	right
empty	none_r	False		False		False	8.3719077184	0.854217332771	1.32681018322	right
interactor	135_top_u	False		False		False	8.63311223266	0.785946160265	1.08521810943	right
interactor	45_bottom_l	False		True	0.06	False	8.44366156347	0.894169932273	4.57470548242	right
empty	none_d	False		True	0.06	False	8.05119988782	0.872695707983	1.49658399809	right
interactor	135_bottom_d	False		False		False	8.74646785929	0.852489218623	1.62633969141	right
interactor	45_bottom_l	True		False		False	8.57616101335	0.905429928105	1.52788056294	right
interactor	45_top_r	False		True	0.06	True	8.58016537502	0.870656753993	1.46841038973	right
interactor	45_bottom_d	False		True	0.06	True	8.10860736431	0.860599351972	1.49362382837	right
interactor	45_top_u	True		True	0.06	False	8.4410500204	0.742284109888	1.4382413612	right
interactor	135_bottom_d	False		False		False	8.66885240166	0.84322260164	1.27632083852	right
empty	none_u	True	right	False		False	8.15076029064	0.853670723014	1.84499169957	right
interactor	135_top_u	True		False		True	8.330512708	0.825285006998	1.50835529749	right
interactor	45_top_u	False		False		False	8.41989663046	0.921749770482	2.66361831458	right
empty	none_r	False		True	0.06	True	9.02078153548	0.864712173311	2.24742908584	right
interactor	45_top_r	True		True	0.06	False	8.28967648432	0.841775673019	4.92364004276	right
empty	none_r	False		True	0.06	False	8.47421357676	0.94171157851	1.03405942043	right
interactor	45_top_r	True		False		False	8.8520326887	0.793236186176	1.01140024531	right
empty	none_l	False		True	0.06	True	8.58650431459	0.955484103037	1.64453391728	right
empty	none_d	True	left	True	0.06	False	8.42207145205	0.826636414659	1.28897326337	right
empty	none_r	False		False		False	8.78319272505	0.860118619522	2.17627553345	right
