trial_type	trial_option	bounce	phant_bounce_direction	ball_change	ball_luminance	task_prompt	ball_speeds	ball_start_colors	itis	change_detect_button
interactor	135_top_l	True		False		False	8.55790354511	0.820765256768	1.06665412916	right
empty	none_d	True	right	True	0.06	False	8.59503442732	0.856400072237	1.15339010592	right
interactor	45_bottom_l	True		False		False	8.67159127304	0.884799753473	2.48448127119	right
empty	none_r	False		True	0.06	False	8.59607609133	0.742937669501	1.10110786966	right
interactor	45_top_r	True		True	0.06	False	8.76461523625	0.897989241415	2.46185836853	right
empty	none_r	True	left	False		False	8.69740779526	0.820311675075	1.1667681715	right
empty	none_u	True	right	False		False	8.84188863474	0.873574919359	2.82822457203	right
empty	none_l	True	right	True	0.06	False	8.45485049953	0.847477966971	4.44763721269	right
empty	none_r	False		True	0.06	False	8.98315589628	0.848807983629	1.54600482808	right
interactor	135_top_u	True		False		True	8.7726119947	0.814955126821	1.89364912401	right
interactor	135_top_l	True		True	0.06	False	8.51701743195	0.870815524721	4.21267434995	right
empty	none_r	True	left	True	0.06	False	8.41240727289	0.873051937225	2.75954264116	right
empty	none_r	False		True	0.06	False	8.49484435505	0.837246758866	2.16690180894	right
empty	none_l	True	right	False		False	8.57674452001	0.847323178496	2.09336502654	right
empty	none_l	False		False		False	8.18276843854	0.874497835915	2.54347723269	right
empty	none_u	True	right	True	0.06	False	8.71117060465	0.829886065988	1.03005031565	right
interactor	135_bottom_r	False		False		False	8.45598941249	0.789720281811	1.15588007121	right
empty	none_r	False		False		False	8.17535359382	0.865757912466	1.19223762092	right
interactor	45_bottom_l	True		True	0.06	False	8.8951537245	0.782868858527	1.35871385292	right
interactor	45_top_r	True		False		True	8.4706178647	0.820685384402	1.49188182123	right
interactor	45_top_u	False		False		False	7.85429048267	0.791052963721	1.91770586465	right
empty	none_u	True	right	True	0.06	False	8.17383527836	0.832634744504	4.26931141854	right
interactor	45_bottom_d	False		False		False	8.39681208963	0.798114416664	1.66160553343	right
interactor	135_top_u	True		False		False	8.16561485585	0.879274266769	2.60046169539	right
interactor	45_top_r	False		False		False	8.48512937879	0.753746997204	2.6663743871	right
interactor	135_bottom_r	True		True	0.06	False	8.09959763649	0.79179745455	1.13938742566	right
interactor	45_bottom_l	True		True	0.06	False	8.28042456851	0.82980390939	1.4308681738	right
interactor	45_bottom_l	True		True	0.06	False	8.06830986822	0.748554575164	4.04872021488	right
interactor	45_bottom_d	True		False		False	8.7215525291	0.912467927774	1.01924380248	right
empty	none_l	False		True	0.06	False	8.28127369079	0.82166101989	1.67409469534	right
empty	none_u	False		False		False	8.62387666432	0.932291771077	1.42253586435	right
interactor	135_top_l	True		False		False	8.42536005577	0.834470933443	3.56953211384	right
empty	none_r	True	left	False		False	8.67778060281	0.838695424532	1.40729870735	right
empty	none_u	False		False		False	8.49593241289	0.816087028549	1.85496330682	right
interactor	45_top_r	True		False		False	9.10684320816	0.843339661611	1.16284667529	right
empty	none_u	True	right	False		False	8.47681566027	0.80076370547	2.64225455029	right
empty	none_d	False		True	0.06	True	8.57144006176	0.929493651694	3.90672469071	right
interactor	45_top_u	False		True	0.06	False	8.46303306871	0.866522010246	4.03962996841	right
empty	none_r	True	left	False		False	8.50744227335	0.861974795566	3.2104884398	right
empty	none_r	True	left	False		False	8.85285179873	0.869746327568	3.75163502342	right
interactor	45_top_u	True		False		False	8.58675713492	0.839451755645	3.73073593729	right
empty	none_u	True	right	False		False	8.30694885872	0.91311130432	1.78691370684	right
empty	none_d	False		True	0.06	False	8.74309391427	0.847932128699	1.95197285426	right
interactor	45_bottom_d	True		True	0.06	False	8.21232195931	0.832888849938	1.11797002227	right
interactor	45_top_u	True		True	0.06	False	8.57433514407	0.872729720621	1.14782294314	right
empty	none_u	False		False		False	8.49011391292	0.884331075674	1.50300904609	right
empty	none_l	False		True	0.06	False	8.27023806108	0.808933261178	2.04041086601	right
empty	none_d	True	left	False		True	8.36746972206	0.771158821709	1.78419047534	right
empty	none_u	False		True	0.06	False	8.62918426828	0.83667824378	2.11297901852	right
interactor	45_bottom_d	False		False		False	9.07852115657	0.832888100671	1.00612802491	right
empty	none_d	False		True	0.06	False	8.50004220516	0.8185857192	1.07225868422	right
empty	none_u	True	right	True	0.06	False	8.43463160451	0.857837124137	1.42765289177	right
empty	none_r	False		True	0.06	False	8.87314627217	0.810519537828	1.16803099231	right
interactor	45_bottom_l	True		True	0.06	True	8.4579641972	0.948701070507	3.17587295955	right
empty	none_r	True	left	True	0.06	False	8.28815152754	0.878761084641	1.30414215634	right
empty	none_d	True	right	True	0.06	False	8.50377483412	0.868655304669	3.04130939333	right
interactor	135_bottom_r	True		False		False	8.368524821	0.890203012027	2.23696376249	right
interactor	135_bottom_d	True		False		False	8.28123994296	0.865438435643	1.66294159036	right
empty	none_u	True	right	True	0.06	False	8.35640405883	0.894641060343	1.09833752501	right
interactor	135_top_u	True		True	0.06	False	8.38552606617	0.903065797925	2.46660468835	right
empty	none_u	True	right	True	0.06	False	8.79297342948	0.829868583969	2.39134613918	right
interactor	135_bottom_r	False		True	0.06	True	8.73848520887	0.899963476476	2.24160179129	right
interactor	45_top_r	False		True	0.06	True	8.65226399375	0.887739001025	1.04752719586	right
interactor	45_bottom_l	False		False		False	8.49575303192	0.919489316262	2.23581997932	right
empty	none_d	True	right	False		False	9.02757413654	0.832813418439	2.4917769676	right
empty	none_d	False		True	0.06	False	8.99813379026	0.835679643489	2.17566682305	right
interactor	135_top_l	True		True	0.06	False	8.62938314137	0.925434627731	1.84770044252	right
interactor	45_top_r	True		True	0.06	False	8.92156227752	0.890426707479	2.85583420332	right
empty	none_l	True	right	False		False	8.61342488322	0.88779788382	1.5686523392	right
interactor	45_bottom_d	True		True	0.06	False	8.48628085305	0.826694163205	2.70188854518	right
empty	none_d	False		False		False	8.11171020472	0.926463628377	2.78302656847	right
empty	none_u	False		True	0.06	False	8.43742298906	0.845284942307	1.1036178451	right
interactor	135_bottom_d	False		False		False	8.13382710915	0.911493102253	1.11674637226	right
empty	none_r	False		True	0.06	False	8.55835520044	0.791583857851	1.60705040043	right
interactor	45_top_u	False		False		False	8.50053681888	0.925891429383	2.81455804142	right
empty	none_d	True	right	True	0.06	False	8.44350747436	0.88771940811	2.12962398093	right
empty	none_u	False		False		False	8.46918979419	0.883453487114	1.16212097617	right
empty	none_l	False		True	0.06	False	8.64657136283	0.877411805453	1.45948699866	right
interactor	45_bottom_d	False		True	0.06	False	8.12566478091	0.864876007883	1.07036777969	right
empty	none_l	True	right	True	0.06	False	8.82156380807	0.85604876254	2.29014034927	right
empty	none_u	False		True	0.06	True	8.74530181817	0.832980707434	1.59876900686	right
interactor	45_bottom_l	False		True	0.06	False	7.95998910252	0.882141285067	2.32959869952	right
interactor	135_top_u	False		True	0.06	False	8.89859138903	0.853214870615	1.3635865682	right
